symptoms,urgency,scenario_id
Can someone help me? I have worsening fatigue with fever and poor appetite.,Moderate,M40
I have mild eye irritation without vision changes and need advice.,Low,L33
Symptoms: repeated vomiting over several hours.,Moderate,M17
Symptoms: a dry patch of skin.,Low,L25
I would like to get checked because I have a high fever that has lasted for several days.,Moderate,M01
I have mild menstrual cramps that are manageable and need advice.,Low,L21
I have a painful wrist after a fall with significant swelling.,Moderate,M33
"A deep wound with blood spurting or flowing heavily, and it has not improved.",High,H23
I would like to get checked because I have thoughts of suicide with an immediate plan to act.,High,H27
"For the past couple of days, I have had a seizure that has continued for several minutes.",High,H17
"For the past couple of days, I have had severe breathing difficulty with confusion or extreme drowsiness.",High,H40
"Severe shortness of breath while sitting still, and it seems to be getting worse.",High,H19
Can someone help me? I have moderate wheezing that improves when I rest.,Moderate,M37
I've got minor ankle soreness and I can still walk normally.,Low,L13
I have a sore throat with fever and dificulty swallowing food and need advice.,Moderate,M36
Can someone help me? I have mild skin itching with no swelling.,Low,L20
I would like to get checked because I have a small itchy insect bite.,Low,L22
Symptoms: a runny nose with sneezing.,Low,L02
I am experiencing mild seasonal allergy symptoms.,Low,L32
The problem is mild arm soreness after normal activity.,Low,L35
I'm worried about choking and unable to breathe.,High,H10
"A small itchy insect bite, and I am concerned about it.",Low,L22
The problem is fever with body aches and weakness.,Moderate,M10
"For the past couple of days, I have had mild tooth sensitivity.",Low,L23
"For the past couple of days, I have had shortness of breath when walking but I can breathe while resting.",Moderate,M18
I have sudden severe weaknes on one side of the body and need advice.,High,H20
I am dealing with a collapse and the person is not waking properly.,High,H16
My main problem is a migraine with nausea and sensitivity to light for several hours.,Moderate,M21
I have recurrent abdominal cramps with vomitting and need advice.,Moderate,M38
Can someone help me? I have a suspected medication overdose with severe drowsiness.,High,H24
"For the past couple of days, I have had mild skin itching with no swelling.",Low,L20
Can someone help me? I have a mild lower back ache after sitting for a long time.,Low,L08
Can someone help me? I have choking and unable to breathe.,High,H10
Lately I have had a mild dry cough without fever.,Low,L05
The problem is repeated heart palpitations without chest pain or fainting; and I would like medical advice.,Moderate,M22
I have repeated heart palpitations without chest pain or fainting and need advice.,Moderate,M22
I have dental swelling and significant tooth pain and need advice.,Moderate,M29
Been having a serious burn involving the face or airway for two days.,High,H25
Been having becoming unresponsive after taking an unknown substance for the past three days.,High,H39
"For the past couple of days, I have had itchy watery eyes.",Low,L06
Symptoms: sudden crushing chest pain with sweating and nausea.,High,H37
I have loss of consciousness and not responding normally and need advice.,High,H05
I am dealing with persistent sinus pain with fever since last night.,Moderate,M35
Been having an infected cut with increasing redness and swelling over the last few days.,Moderate,M15
Can someone help me? I have a repeat prescription request with no new symptoms.,Low,L10
I have slight loss of appetite for one day but I can drink normally and need advice.,Low,L38
Symptoms: severe abdominal pain together with fainting.,High,H29
I have been having painful urination with fever.,Moderate,M07
Can someone help me? I have strong chest pressure spreading to the arm or jaw.,High,H15
I am dealing with a small cut that has already stopped bleeding.,Low,L09
I am experiencing sudden crushing chest pain with sweating and nausea for several hours.,High,H37
Been having a minor rash with no fever or swelling since this morning.,Low,L34
Been having mild menstrual cramps that are manageable since last night.,Low,L21
My main problem is a mildly hoarse voice since yesterday.,Low,L27
Been having a dry patch of skin over the last few days.,Low,L25
I have been having minor finger soreness after bumping it; and I would like to speak to a clinician.,Low,L40
I have a serious burn involving the face or airway over the last few days.,High,H25
"For the past couple of days, I have had an infected cut with increasing redness and swelling.",Moderate,M15
"For the past couple of days, I have had a major injury with uncontrolled bleeding.",High,H22
I have sevre shortness of breath while sitting still and need advice.,High,H19
"For the past couple of days, I have had a serious burn involving the face or airway.",High,H25
Symptoms: shortness of breath when walking but I can breathe while resting.,Moderate,M18
I have itchy watery eyes and need advice.,Low,L06
I would like to get checked because I have a severe head injury followed by loss of consciousness.,High,H14
Can someone help me? I have a worsening cough together with fever.,Moderate,M08
Symptoms: I cannot breathe properly.,High,H03
I'm worried about mild cold symptoms; and I would like medical advice.,Low,L15
Can someone help me? I have a painful wrist after a fall with significant swelling.,Moderate,M33
Been having sudden face drooping with weakness in one arm since yesterday.,High,H08
I would like to get checked because I have severe shortness of breath while sitting still.,High,H19
"Becoming unresponsive after taking an unknown substance, and it is bothering me.",High,H39
I have possible stroke symptoms and need advice.,High,H07
I would like to get checked because I have a dry patch of skin.,Low,L25
Can someone help me? I have moderate abdominal pain that is not improving.,Moderate,M09
I've got persistent ear pain together with fever.,Moderate,M16
"For the past couple of days, I have had recurrent abdominal cramps with vomiting.",Moderate,M38
Been having occasional constipation without severe pain since this morning.,Low,L19
Symptoms: a mild tension headache after a stressful day.,Low,L39
Symptoms: a major injury with uncontrolled bleeding.,High,H22
"For the past couple of days, I have had slight tiredness after poor sleep.",Low,L16
Been having persistent vomiting and difficulty keeping food down for several hours.,Moderate,M02
I would like to get checked because I have pain that is strong enough to limit my normal activities.,Moderate,M03
"An allergic rash with swelling but normal breathing, and it has not improved.",Moderate,M32
I would like to get checked because I have mild eye irritation without vision changes.,Low,L33
I am experiencing a swollen painful joint; and I am not sure what to do.,Moderate,M14
"Thoughts of suicide with an immediate plan to act, and I am not sure what to do.",High,H27
The problem is minor finger soreness after bumping it.,Low,L40
I have dental swelling and significant tooth pain; and it seems to be getting worse.,Moderate,M29
Been having a cough that has persisted for more than a week for two days.,Moderate,M26
I need help with a chemical injury to the eye with severe pain and vision changes; and I am not sure what to do.,High,H33
"For the past couple of days, I have had a small cut with light bleeding that stops with pressure.",Low,L36
Symptoms: sudden severe weakness on one side of the body.,High,H20
Been having a mild dry cough without fever for the past three days.,Low,L05
The problem is persistent diarrhoea for more than a day; and it is bothering me.,Moderate,M11
I have repeated vomitting over several hours and need advice.,Moderate,M17
I have been having dizziness that keeps coming back; and I would like to speak to a clinician.,Moderate,M04
Symptoms: a very red painful eye but I can still see normally.,Moderate,M30
The problem is ongoing nausea with reduced food and fluid intake for the past three days.,Moderate,M25
I have mild heartburn after eating and need advice.,Low,L18
"A severe head injury followed by loss of consciousness, and it is bothering me.",High,H14
My main problem is rapid swelling of the tongue or throat; and I am concerned about it.,High,H34
I have coughing up blood together with breathing difficulty.,High,H11
Symptoms: a migraine with nausea and sensitivity to light.,Moderate,M21
I have been having several seizures occurring close together since this morning.,High,H18
Lately I have had shortness of breath when walking but I can breathe while resting.,Moderate,M18
"For the past couple of days, I have had minor muscle aches after exercise.",Low,L07
I have been having mild shoulder soreness after carrying bags since yesterday.,Low,L29
My main problem is slight bloating after meals; and I would like to speak to a clinician.,Low,L31
"Pain that is strong enough to limit my normal activities, and I am not sure what to do.",Moderate,M03
I would like to get checked because I have mild tooth sensitivity.,Low,L23
"A swollen painful joint, and it is bothering me.",Moderate,M14
I would like to get checked because I have a painful burn over a small area of skin.,Moderate,M28
I have sudden confusion together with dificulty speaking and need advice.,High,H21
I would like to get checked because I have mild cold symptoms.,Low,L15
The problem is choking and unable to breathe; and I am concerned about it.,High,H10
"For the past couple of days, I have had a severe injury to the chest with breathing difficulty.",High,H36
Symptoms: moderate abdominal pain that is not improving.,Moderate,M09
I would like to get checked because I have a cough that has persisted for more than a week.,Moderate,M26
"A cough that has persisted for more than a week, and I would like medical advice.",Moderate,M26
I have becoming unresponsive after taking an unknown substance; and it has not improved.,High,H39
"For the past couple of days, I have had fever that has continued for three days.",Moderate,M20
I would like to get checked because I have mild shoulder soreness after carrying bags.,Low,L29
Symptoms: slight nausea without vomiting.,Low,L12
Can someone help me? I have signs of dehydration such as a dry mouth and very little urine.,Moderate,M05
I have a worsening cough together with feveer and need advice.,Moderate,M08
Been having choking and unable to breathe since this morning.,High,H10
"I cannot breathe properly, and I am concerned about it.",High,H03
I am dealing with a repeat prescription request with no new symptoms.,Low,L10
I have persistent diarrhoea for more than a day since yesterday.,Moderate,M11
I have a repeat presciption request with no new symptoms and need advice.,Low,L10
Lately I have had a chemical injury to the eye with severe pain and vision changes since last night.,High,H33
Been having minor muscle aches after exercise since this morning.,Low,L07
I would like to get checked because I have mild menstrual cramps that are manageable.,Low,L21
The problem is mild ear discomfort without fever; and I am concerned about it.,Low,L14
"For the past couple of days, I have had pain that is strong enough to limit my normal activities.",Moderate,M03
"For the past couple of days, I have had fever with body aches and weakness.",Moderate,M10
"For the past couple of days, I have had a mild sore throat.",Low,L04
Been having a seizure for the past three days.,High,H06
Symptoms: minor muscle aches after exercise.,Low,L07
I need help with mild neck stiffness after sleeping awkwardly since this morning.,Low,L24
I would like to get checked because I have a mild tension headache after a stressful day.,Low,L39
Can someone help me? I have repeated vomiting over several hours.,Moderate,M17
I need help with mild seasonal allergy symptoms; and I am not sure what to do.,Low,L32
Been having vomiting during pregnancy and struggling to keep fluids down for two days.,Moderate,M31
"Strong chest pressure spreading to the arm or jaw, and it has not improved.",High,H15
Been having a chemical injury to the eye with severe pain and vision changes for two days.,High,H33
I'm worried about a worsening cough together with fever.,Moderate,M08
I would like to get checked because I have recurrent abdominal cramps with vomiting.,Moderate,M38
Been having possible stroke symptoms since yesterday.,High,H07
Been having strong chest pressure spreading to the arm or jaw for several hours.,High,H15
I have severe breathing difficulty with confusion or extreme drowsiness; and I am concerned about it.,High,H40
I would like to get checked because I have a mild dry cough without fever.,Low,L05
I am experiencing a mild headache; and it is bothering me.,Low,L01
I would like to get checked because I have a red painful wound that looks infected.,Moderate,M06
My main problem is a mildly hoarse voice.,Low,L27
Can someone help me? I have severe chest pain.,High,H01
Symptoms: a mild cough with no breathing difficulty.,Low,L37
I would like to get checked because I have severe asthma symptoms and unable to speak full sentences.,High,H35
"For the past couple of days, I have had an allergic rash with swelling but normal breathing.",Moderate,M32
"For the past couple of days, I have had mild knee pain after exercise.",Low,L28
Can someone help me? I have a small bruise with no major swelling.,Low,L17
I have moderate wheezing that improves when I rest and need advice.,Moderate,M37
"Recurrent abdominal cramps with vomiting, and I would like to speak to a clinician.",Moderate,M38
Been having a severe allergic reaction with throat swelling and breathing difficulty since this morning.,High,H12
"A painful swollen finger that may be infected, and I would like to speak to a clinician.",Moderate,M39
I would like to get checked because I have moderate wheezing that improves when I rest.,Moderate,M37
I am experiencing possible stroke symptoms.,High,H07
I am experiencing mild knee pain after exercise; and I am concerned about it.,Low,L28
Been having a mild cough with no breathing difficulty since last night.,Low,L37
The problem is heavy bleeding that will not stop; and it seems to be getting worse.,High,H04
I am dealing with a chronic condition that has become noticeably worse; and it has not improved.,Moderate,M19
Can someone help me? I have minor muscle aches after exercise.,Low,L07
I would like to get checked because I have a seizure that has continued for several minutes.,High,H17
My main problem is mild cold symptoms over the last few days.,Low,L15
"Minor ankle soreness and i can still walk normally, and it seems to be getting worse.",Low,L13
The problem is mild ear discomfort without fever.,Low,L14
Symptoms: vomiting during pregnancy and struggling to keep fluids down.,Moderate,M31
I am experiencing possible stroke symptoms; and it is bothering me.,High,H07
"For the past couple of days, I have had a repeat prescription request with no new symptoms.",Low,L10
I have mild cold symptoms and need advice.,Low,L15
I would like to get checked because I have signs of dehydration such as a dry mouth and very little urine.,Moderate,M05
I would like to get checked because I have a mild headache.,Low,L01
My main problem is a strong headache with dizziness but no weakness on one side over the last few days.,Moderate,M13
I need help with severe difficulty breathing at rest.,High,H02
Can someone help me? I have a mild dry cough without fever.,Low,L05
I am experiencing a swollen ankle after a fall and walking is painful for several hours.,Moderate,M24
I would like to get checked because I have strong chest pressure spreading to the arm or jaw.,High,H15
Been having slight nausea without vomiting for the past three days.,Low,L12
Symptoms: a severe head injury followed by loss of consciousness.,High,H14
I am dealing with a seizure.,High,H06
My main problem is heavy bleeding during pregnancy with severe abdominal pain since last night.,High,H26
I've got mild knee pain after exercise.,Low,L28
Been having blue lips together with severe breathing difficulty since this morning.,High,H13
"Slight nausea without vomiting, and it seems to be getting worse.",Low,L12
"For the past couple of days, I have had a severe allergic reaction with throat swelling and breathing difficulty.",High,H12
Symptoms: a serious burn involving the face or airway.,High,H25
I would like to get checked because I have occasional constipation without severe pain.,Low,L19
I need help with sudden confusion together with difficulty speaking for several hours.,High,H21
My main problem is pain that is strong enough to limit my normal activities.,Moderate,M03
Been having mild neck stiffness after sleeping awkwardly since last night.,Low,L24
Can someone help me? I have coughing up blood together with breathing difficulty.,High,H11
Symptoms: thoughts of suicide with an immediate plan to act.,High,H27
Been having sudden crushing chest pain with sweating and nausea for the past three days.,High,H37
I would like to get checked because I have a minor rash with no fever or swelling.,Low,L34
I would like to get checked because I have slight bloating after meals.,Low,L31
I have vomitting blood and need advice.,High,H30
Can someone help me? I have persistent vomiting and difficulty keeping food down.,Moderate,M02
Symptoms: a suspected medication overdose with severe drowsiness.,High,H24
I would like to get checked because I have minor ankle soreness and I can still walk normally.,Low,L13
I have mild tooth sensitivity and need advice.,Low,L23
I have slight tiredness after poor sleep and need advice.,Low,L16
I am dealing with persistent sinus pain with fever.,Moderate,M35
My main problem is severe abdominal pain together with fainting for the past three days.,High,H29
Symptoms: a severe injury to the chest with breathing difficulty.,High,H36
I would like to get checked because I have a very high fever with stiff neck and confusion.,High,H28
Lately I have had a small bruise with no major swelling; and I am not sure what to do.,Low,L17
I would like to get checked because I have persistent diarrhoea for more than a day.,Moderate,M11
My main problem is signs of dehydration such as a dry mouth and very little urine; and I am concerned about it.,Moderate,M05
My main problem is black tar-like stool together with severe weakness or faintness.,High,H31
Can someone help me? I have a seizure that has continued for several minutes.,High,H17
Can someone help me? I have a chemical injury to the eye with severe pain and vision changes.,High,H33
Lately I have had a seizure for several hours.,High,H06
Symptoms: moderate wheezing that improves when I rest.,Moderate,M37
Lately I have had a severe head injury followed by loss of consciousness for the past three days.,High,H14
"Mild seasonal allergy symptoms, and I would like to speak to a clinician.",Low,L32
I have several seizures occurring close together and need advice.,High,H18
"Mild knee pain after exercise, and I would like medical advice.",Low,L28
Been having signs of dehydration such as a dry mouth and very little urine since last night.,Moderate,M05
"For the past couple of days, I have had a red painful wound that looks infected.",Moderate,M06
"For the past couple of days, I have had a sore throat with fever and difficulty swallowing food.",Moderate,M36
Symptoms: uncontrolled bleeding after a serious accident.,High,H38
My main problem is a dry patch of skin.,Low,L25
I would like to get checked because I have a swollen ankle after a fall and walking is painful.,Moderate,M24
I have a deep wound with blood spurting or flowing heavily and need advice.,High,H23
I need help with uncontrolled bleeding after a serious accident for the past three days.,High,H38
I am experiencing mild eye irritation without vision changes; and I would like to speak to a clinician.,Low,L33
Been having back pain that is making normal movement difficult for two days.,Moderate,M23
"A collapse and the person is not waking properly, and it seems to be getting worse.",High,H16
"For the past couple of days, I have had a dry patch of skin.",Low,L25
I need help with minor ankle soreness and I can still walk normally; and I am concerned about it.,Low,L13
"Moderate abdominal pain that is not improving, and I would like to speak to a clinician.",Moderate,M09
I would like to get checked because I have a nosebleed that keeps returning but stops with pressure.,Moderate,M34
Symptoms: a swollen painful joint.,Moderate,M14
"A blocked nose, and I would like medical advice.",Low,L03
Been having repeated heart palpitations without chest pain or fainting since last night.,Moderate,M22
Symptoms: a painful burn over a small area of skin.,Moderate,M28
I would like to get checked because I have an infected cut with increasing redness and swelling.,Moderate,M15
Can someone help me? I have a severe allergic reaction with throat swelling and breathing difficulty.,High,H12
"For the past couple of days, I have had moderate abdominal pain that is not improving.",Moderate,M09
Symptoms: a painful swollen finger that may be infected.,Moderate,M39
Can someone help me? I have a swollen painful joint.,Moderate,M14
"A runny nose with sneezing, and it seems to be getting worse.",Low,L02
Been having persistent diarrhoea for more than a day for two days.,Moderate,M11
"For the past couple of days, I have had a widespread rash with fever but no breathing difficulty.",Moderate,M27
Lately I have had several seizures occurring close together; and I am concerned about it.,High,H18
I have mild shoulder soreness after carrying bags; and I am concerned about it.,Low,L29
Been having slight loss of appetite for one day but I can drink normally for two days.,Low,L38
Symptoms: mild skin itching with no swelling.,Low,L20
My main problem is I cannot breathe properly.,High,H03
I've got mild heartburn after eating; and it has not improved.,Low,L18
I have a painful burn over a small area of skin for two days.,Moderate,M28
Symptoms: heavy bleeding during pregnancy with severe abdominal pain.,High,H26
Symptoms: sudden face drooping with weakness in one arm.,High,H08
I've got heavy bleeding that will not stop.,High,H04
I have a small cut with light bleeding that stops with presure and need advice.,Low,L36
Symptoms: minor finger soreness after bumping it.,Low,L40
"For the past couple of days, I have had sudden crushing chest pain with sweating and nausea.",High,H37
Can someone help me? I have a migraine with nausea and sensitivity to light.,Moderate,M21
I've got a very red painful eye but I can still see normally.,Moderate,M30
Been having a blocked nose over the last few days.,Low,L03
Lately I have had a mild tension headache after a stressful day since last night.,Low,L39
I would like to get checked because I have a strong headache with dizziness but no weakness on one side.,Moderate,M13
I have a sevre head injury followed by loss of consciousness and need advice.,High,H14
"For the past couple of days, I have had a minor rash with no fever or swelling.",Low,L34
I am experiencing a painful burn over a small area of skin; and I am not sure what to do.,Moderate,M28
The problem is mild neck stiffness after sleeping awkwardly.,Low,L24
Can someone help me? I have minor finger soreness after bumping it.,Low,L40
Been having persistent ear pain together with fever for two days.,Moderate,M16
Been having a collapse and the person is not waking properly for two days.,High,H16
"For the past couple of days, I have had a suspected medication overdose with severe drowsiness.",High,H24
Can someone help me? I have mild knee pain after exercise.,Low,L28
I am experiencing a major injury with uncontrolled bleeding since this morning.,High,H22
"A very high fever with stiff neck and confusion, and I would like medical advice.",High,H28
"For the past couple of days, I have had sudden loss of vision in one or both eyes.",High,H32
I am experiencing a severe head injury followed by loss of consciousness.,High,H14
"For the past couple of days, I have had a chronic condition that has become noticeably worse.",Moderate,M19
I would like to get checked because I have dental swelling and significant tooth pain.,Moderate,M29
I have a small itchy insect bite and need advice.,Low,L22
"Sudden crushing chest pain with sweating and nausea, and it seems to be getting worse.",High,H37
I am experiencing repeated heart palpitations without chest pain or fainting since yesterday.,Moderate,M22
Been having a runny nose with sneezing since yesterday.,Low,L02
I would like to get checked because I have a mild lower back ache after sitting for a long time.,Low,L08
